Year,Exporter,Exporter_Region,Exporter_Alliance,UNSC_Permanent_Member,Importer,Importer_Region,Weapon_Category,Weapon_Subtype,Weapon_Class,Deal_Value_USD_M,Quantity,Deal_Framework,Technology_Transfer,Delivery_Timeline_Months,Importer_GDP_Per_Capita,Importer_Political_Stability,Importer_Democracy_Index,Importer_Conflict_Proximity,Active_Territorial_Dispute,Natural_Resource_Dependence,Importer_Military_Spend_Pct_GDP,Arms_Import_Trend,UN_Embargo,Escalation_Risk
2023,Russia,Europe & Central Asia,Non-Aligned,Yes,Vietnam,East Asia & Pacific,Armoured Vehicles,Main Battle Tank,Offensive,90.3,1,Multilateral Programme,No,6,3652,5.5,2.0,No,Yes,Low,2.7,Accelerating,No,High
2023,China,East Asia & Pacific,Non-Aligned,Yes,UAE,Middle East & North Africa,Armoured Vehicles,IFV,Offensive,27.7,20,Bilateral Defence Pact,Yes,14,46178,6.9,3.2,No,No,High,2.4,Stable,No,Low
2012,France,Europe & Central Asia,NATO,Yes,Greece,Europe & Central Asia,Small Arms & Light Weapons,Assault Rifle Batch,Offensive,6.5,3,Bilateral Defence Pact,Yes,6,20069,6.4,7.7,Yes,Yes,Low,4.8,Stable,No,High
2023,United States,North America,NATO,Yes,Poland,Europe & Central Asia,Naval Vessels,Submarine,Offensive,262.4,183,Multilateral Programme,No,40,16160,6.6,7.4,Yes,No,Low,3.3,Accelerating,No,Medium
2019,Russia,Europe & Central Asia,Non-Aligned,Yes,Brazil,Latin America & Caribbean,Small Arms & Light Weapons,Assault Rifle Batch,Offensive,9.6,107,Direct Commercial Sale,Yes,14,9530,4.5,7.2,No,No,Medium,1.7,Stable,No,Low
2007,Italy,Europe & Central Asia,NATO,No,Thailand,East Asia & Pacific,Artillery & Ammunition,MLRS,Offensive,39.7,2,Multilateral Programme,No,6,7058,5.2,5.1,No,No,Low,2.3,Stable,No,Medium
2015,United States,North America,NATO,Yes,Norway,Europe & Central Asia,Sensors & Electronics,Targeting Pod,Offensive,98.2,2,Bilateral Defence Pact,No,26,77928,7.6,9.4,No,No,High,2.2,Declining,No,Low
2023,China,East Asia & Pacific,Non-Aligned,Yes,Kazakhstan,Europe & Central Asia,Helicopters,Utility Helicopter,Defensive,117.6,7,Direct Commercial Sale,No,40,9408,5.4,2.3,No,No,High,1.1,Declining,No,Low
2017,Russia,Europe & Central Asia,Non-Aligned,Yes,Mexico,Latin America & Caribbean,Naval Vessels,Patrol Boat,Defensive,73.3,2,Bilateral Defence Pact,No,63,9425,3.6,5.8,Yes,No,Medium,5.1,Accelerating,No,High
2023,France,Europe & Central Asia,NATO,Yes,Peru,Latin America & Caribbean,Combat Aircraft,Fighter Jet,Offensive,448.6,2,Foreign Military Sales (FMS),No,49,6714,4.3,6.3,No,No,Medium,2.6,Stable,No,Medium
2008,Italy,Europe & Central Asia,NATO,No,Thailand,East Asia & Pacific,Armoured Vehicles,IFV,Offensive,76.3,28,Government-to-Government,Yes,29,6742,4.8,4.8,No,No,Low,1.1,Stable,No,Medium
2023,United Kingdom,Europe & Central Asia,NATO,Yes,Vietnam,East Asia & Pacific,Armoured Vehicles,APC,Defensive,68.5,29,Bilateral Defence Pact,No,9,3550,6.1,1.0,No,Yes,Low,1.6,Stable,No,Medium
2017,China,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,South Asia,Armoured Vehicles,APC,Defensive,90.3,24,Foreign Military Sales (FMS),No,26,2559,4.6,4.7,No,No,Low,1.0,Accelerating,No,Medium
2012,United States,North America,NATO,Yes,Singapore,East Asia & Pacific,Artillery & Ammunition,MLRS,Offensive,106.7,6,Government-to-Government,Yes,27,64971,8.6,6.4,No,No,Low,2.4,Accelerating,No,Low
2021,China,East Asia & Pacific,Non-Aligned,Yes,India,South Asia,Missiles & Air Defence,Cruise Missile,Offensive,158.5,31,Direct Commercial Sale,Yes,13,2357,4.9,6.8,Yes,Yes,Low,2.4,Accelerating,No,High
2005,United States,North America,NATO,Yes,Algeria,Middle East & North Africa,Sensors & Electronics,Targeting Pod,Offensive,40.6,4,Foreign Military Sales (FMS),No,27,4115,3.0,3.2,Yes,Yes,High,2.2,Stable,No,High
2022,United Kingdom,Europe & Central Asia,NATO,Yes,Angola,Sub-Saharan Africa,Helicopters,Attack Helicopter,Offensive,153.8,17,Foreign Military Sales (FMS),No,44,2581,3.8,3.2,No,No,High,2.4,Stable,No,Medium
2012,South Korea,East Asia & Pacific,Non-NATO Ally,No,Saudi Arabia,Middle East & North Africa,Helicopters,Naval Helicopter,Defensive,137.3,129,Direct Commercial Sale,No,38,21982,4.9,1.8,Yes,No,High,5.5,Accelerating,No,High
2014,Russia,Europe & Central Asia,Non-Aligned,Yes,Romania,Europe & Central Asia,Armoured Vehicles,APC,Defensive,58.5,40,Direct Commercial Sale,No,20,15359,6.0,6.8,Yes,No,Low,3.8,Stable,No,Medium
2005,China,East Asia & Pacific,Non-Aligned,Yes,Norway,Europe & Central Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,289.0,2,Foreign Military Sales (FMS),No,23,72885,8.7,9.0,No,No,High,1.0,Declining,No,Low
2022,United States,North America,NATO,Yes,Ukraine,Europe & Central Asia,Combat Aircraft,UAV/Drone,Offensive,252.1,26,Direct Commercial Sale,Yes,32,3934,2.2,5.4,Yes,Yes,Low,2.9,Stable,No,High
2019,United States,North America,NATO,Yes,Greece,Europe & Central Asia,Combat Aircraft,Trainer/Light Combat,Defensive,185.9,15,Offset Agreement,Yes,45,20161,5.9,6.4,Yes,Yes,Low,3.0,Accelerating,No,High
2018,Turkey,Europe & Central Asia,NATO,No,Nigeria,Sub-Saharan Africa,Naval Vessels,Frigate,Offensive,259.1,10,Direct Commercial Sale,No,52,2200,2.7,4.4,Yes,No,High,4.1,Stable,No,High
2007,United Kingdom,Europe & Central Asia,NATO,Yes,Saudi Arabia,Middle East & North Africa,Combat Aircraft,UAV/Drone,Offensive,744.6,6,Government-to-Government,No,46,24830,3.9,2.9,Yes,No,High,6.4,Stable,No,High
2023,France,Europe & Central Asia,NATO,Yes,Egypt,Middle East & North Africa,Naval Vessels,Patrol Boat,Defensive,573.2,40,Offset Agreement,No,44,3408,4.1,2.0,Yes,No,Medium,3.8,Accelerating,No,High
2008,China,East Asia & Pacific,Non-Aligned,Yes,Romania,Europe & Central Asia,Sensors & Electronics,Targeting Pod,Offensive,33.7,1,Offset Agreement,Yes,14,15693,6.1,6.5,Yes,No,Low,4.0,Accelerating,No,Medium
2024,United Kingdom,Europe & Central Asia,NATO,Yes,Mexico,Latin America & Caribbean,Combat Aircraft,Multi-Role Aircraft,Offensive,120.1,46,Foreign Military Sales (FMS),Yes,66,9990,3.6,5.6,Yes,No,Medium,3.9,Accelerating,No,High
2023,Germany,Europe & Central Asia,NATO,No,Singapore,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,1037.2,1,Bilateral Defence Pact,No,29,64973,8.5,6.5,No,No,Low,2.4,Stable,No,Low
2019,France,Europe & Central Asia,NATO,Yes,Iraq,Middle East & North Africa,Combat Aircraft,UAV/Drone,Offensive,459.7,85,Bilateral Defence Pact,No,59,5095,1.9,3.8,Yes,Yes,High,5.2,Accelerating,No,High
2018,France,Europe & Central Asia,NATO,Yes,Mexico,Latin America & Caribbean,Combat Aircraft,Multi-Role Aircraft,Offensive,563.8,21,Foreign Military Sales (FMS),No,24,10303,3.5,6.1,Yes,No,Medium,4.2,Stable,No,High
2016,Russia,Europe & Central Asia,Non-Aligned,Yes,Egypt,Middle East & North Africa,Missiles & Air Defence,MANPADS,Defensive,191.7,98,Government-to-Government,No,17,3616,3.7,2.2,Yes,No,Medium,6.4,Declining,No,High
2020,Germany,Europe & Central Asia,NATO,No,Norway,Europe & Central Asia,Small Arms & Light Weapons,ATGM,Offensive,31.8,19,Direct Commercial Sale,No,19,81786,9.3,9.6,No,No,High,2.1,Stable,No,Low
2009,United States,North America,NATO,Yes,Norway,Europe & Central Asia,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,77.7,128,Foreign Military Sales (FMS),No,7,81650,8.9,9.6,No,No,High,0.8,Declining,No,Low
2018,Sweden,Europe & Central Asia,NATO,No,Chile,Latin America & Caribbean,Sensors & Electronics,C4ISR Package,Defensive,30.5,27,Government-to-Government,Yes,18,16724,6.8,8.6,No,No,Medium,1.6,Stable,No,Low
2013,Russia,Europe & Central Asia,Non-Aligned,Yes,Greece,Europe & Central Asia,Helicopters,Attack Helicopter,Offensive,107.3,129,Multilateral Programme,No,24,19046,6.7,7.4,Yes,Yes,Low,6.5,Stable,No,Medium
2007,France,Europe & Central Asia,NATO,Yes,Chile,Latin America & Caribbean,Combat Aircraft,Multi-Role Aircraft,Offensive,157.6,95,Direct Commercial Sale,Yes,32,13822,7.5,8.6,No,No,Medium,2.8,Declining,No,Low
2011,Russia,Europe & Central Asia,Non-Aligned,Yes,Vietnam,East Asia & Pacific,Armoured Vehicles,IFV,Offensive,12.0,19,Foreign Military Sales (FMS),Yes,14,3597,5.2,2.2,No,Yes,Low,0.9,Declining,No,Medium
2006,Russia,Europe & Central Asia,Non-Aligned,Yes,Greece,Europe & Central Asia,Armoured Vehicles,Main Battle Tank,Offensive,12.5,2,Offset Agreement,Yes,18,18251,6.2,7.5,Yes,Yes,Low,4.2,Stable,No,Medium
2022,Russia,Europe & Central Asia,Non-Aligned,Yes,Kazakhstan,Europe & Central Asia,Sensors & Electronics,Targeting Pod,Offensive,97.5,110,Government-to-Government,No,11,10078,5.4,3.1,No,No,High,1.2,Declining,No,Medium
2024,France,Europe & Central Asia,NATO,Yes,Ethiopia,Sub-Saharan Africa,Combat Aircraft,UAV/Drone,Offensive,470.8,3,Bilateral Defence Pact,No,63,1060,2.4,3.1,Yes,Yes,Low,3.2,Stable,No,High
2018,United Kingdom,Europe & Central Asia,NATO,Yes,UAE,Middle East & North Africa,Artillery & Ammunition,MLRS,Offensive,95.3,7,Government-to-Government,Yes,15,40451,7.5,2.4,No,No,High,1.8,Accelerating,No,Medium
2008,Italy,Europe & Central Asia,NATO,No,Indonesia,East Asia & Pacific,Artillery & Ammunition,MLRS,Offensive,11.8,2,Offset Agreement,No,16,4528,5.3,7.0,No,Yes,Medium,1.3,Accelerating,No,Medium
2020,China,East Asia & Pacific,Non-Aligned,Yes,Taiwan,East Asia & Pacific,Artillery & Ammunition,Mortar System,Offensive,7.2,122,Direct Commercial Sale,No,19,34919,5.3,8.3,Yes,Yes,Low,2.9,Accelerating,No,High
2010,France,Europe & Central Asia,NATO,Yes,Japan,East Asia & Pacific,Missiles & Air Defence,Anti-Ship Missile,Offensive,230.9,32,Bilateral Defence Pact,Yes,33,42498,7.6,8.6,No,Yes,Low,2.1,Accelerating,No,Medium
2022,Russia,Europe & Central Asia,Non-Aligned,Yes,Brazil,Latin America & Caribbean,Small Arms & Light Weapons,Sniper System,Offensive,9.0,88,Bilateral Defence Pact,No,29,8578,5.0,6.0,No,No,Medium,1.1,Accelerating,No,Medium
2019,United States,North America,NATO,Yes,Bangladesh,South Asia,Sensors & Electronics,EW Suite,Defensive,6.7,2,Direct Commercial Sale,No,23,2708,3.8,4.0,No,No,Low,2.6,Accelerating,No,Medium
2020,Turkey,Europe & Central Asia,NATO,No,Egypt,Middle East & North Africa,Armoured Vehicles,MRAP,Defensive,115.7,9,Offset Agreement,No,9,3758,3.9,2.9,Yes,No,Medium,4.7,Stable,No,High
2017,United States,North America,NATO,Yes,Indonesia,East Asia & Pacific,Small Arms & Light Weapons,Grenade Launcher Batch,Offensive,17.2,1,Bilateral Defence Pact,Yes,24,4132,5.2,6.6,No,Yes,Medium,1.3,Declining,No,Medium
2024,China,East Asia & Pacific,Non-Aligned,Yes,Iraq,Middle East & North Africa,Sensors & Electronics,Radar System,Defensive,91.2,16,Foreign Military Sales (FMS),No,29,4663,1.5,3.3,Yes,Yes,High,4.4,Stable,No,High
2019,United States,North America,NATO,Yes,Kazakhstan,Europe & Central Asia,Armoured Vehicles,IFV,Offensive,32.9,20,Offset Agreement,Yes,9,9913,5.4,3.0,No,No,High,2.8,Accelerating,No,High
2012,Turkey,Europe & Central Asia,NATO,No,Qatar,Middle East & North Africa,Naval Vessels,Patrol Boat,Defensive,379.7,13,Multilateral Programme,Yes,60,59400,6.5,1.7,No,No,High,0.8,Stable,No,Low
2019,Russia,Europe & Central Asia,Non-Aligned,Yes,Philippines,East Asia & Pacific,Sensors & Electronics,Radar System,Defensive,47.1,5,Foreign Military Sales (FMS),No,16,3133,3.9,5.9,Yes,Yes,Low,5.3,Stable,No,High
2017,Israel,Middle East & North Africa,Non-NATO Ally,No,Ukraine,Europe & Central Asia,Small Arms & Light Weapons,Assault Rifle Batch,Offensive,11.4,2,Direct Commercial Sale,No,22,3896,2.6,5.9,Yes,Yes,Low,4.6,Stable,No,High
2016,France,Europe & Central Asia,NATO,Yes,Kazakhstan,Europe & Central Asia,Missiles & Air Defence,Cruise Missile,Offensive,31.9,4,Government-to-Government,No,12,8939,4.4,3.2,No,No,High,2.4,Accelerating,No,Medium
2012,Turkey,Europe & Central Asia,NATO,No,Kazakhstan,Europe & Central Asia,Sensors & Electronics,Radar System,Defensive,11.0,56,Bilateral Defence Pact,No,26,10334,5.0,3.0,No,No,High,2.3,Stable,No,Low
2015,United States,North America,NATO,Yes,UAE,Middle East & North Africa,Combat Aircraft,Multi-Role Aircraft,Offensive,458.8,98,Government-to-Government,No,42,42436,7.3,2.3,No,No,High,2.7,Stable,No,Medium
2013,China,East Asia & Pacific,Non-Aligned,Yes,Kenya,Sub-Saharan Africa,Armoured Vehicles,Main Battle Tank,Offensive,60.1,1,Direct Commercial Sale,Yes,19,2159,4.1,4.9,Yes,No,Low,4.8,Accelerating,No,High
2015,Italy,Europe & Central Asia,NATO,No,Saudi Arabia,Middle East & North Africa,Missiles & Air Defence,SAM System,Defensive,95.8,31,Government-to-Government,No,32,21669,4.3,1.8,Yes,No,High,2.9,Accelerating,No,High
2020,South Korea,East Asia & Pacific,Non-NATO Ally,No,Greece,Europe & Central Asia,Armoured Vehicles,APC,Defensive,55.7,8,Offset Agreement,Yes,9,19903,6.0,8.1,Yes,Yes,Low,5.2,Accelerating,No,Medium
2024,Israel,Middle East & North Africa,Non-NATO Ally,No,Angola,Sub-Saharan Africa,Artillery & Ammunition,Guided Munitions,Offensive,53.7,16,Bilateral Defence Pact,No,17,2513,4.2,2.6,No,No,High,0.9,Stable,No,Medium
2024,China,East Asia & Pacific,Non-Aligned,Yes,Kenya,Sub-Saharan Africa,Missiles & Air Defence,SAM System,Defensive,305.1,5,Foreign Military Sales (FMS),No,47,2049,4.4,5.7,Yes,No,Low,3.9,Stable,No,Medium
2008,China,East Asia & Pacific,Non-Aligned,Yes,Romania,Europe & Central Asia,Missiles & Air Defence,SAM System,Defensive,36.1,41,Direct Commercial Sale,Yes,25,15377,5.5,6.9,Yes,No,Low,4.8,Accelerating,No,Medium
2010,Russia,Europe & Central Asia,Non-Aligned,Yes,Japan,East Asia & Pacific,Artillery & Ammunition,Mortar System,Offensive,40.0,9,Offset Agreement,Yes,10,43355,7.7,9.2,No,Yes,Low,2.8,Accelerating,No,Medium
2014,Russia,Europe & Central Asia,Non-Aligned,Yes,Australia,East Asia & Pacific,Naval Vessels,Submarine,Offensive,836.6,9,Foreign Military Sales (FMS),No,46,53567,9.0,8.9,No,No,Medium,1.6,Stable,No,Low
2024,France,Europe & Central Asia,NATO,Yes,Pakistan,South Asia,Artillery & Ammunition,Mortar System,Offensive,30.4,80,Foreign Military Sales (FMS),No,25,1508,2.7,4.1,Yes,Yes,Low,4.1,Accelerating,No,High
2009,Turkey,Europe & Central Asia,NATO,No,Qatar,Middle East & North Africa,Combat Aircraft,Multi-Role Aircraft,Offensive,260.4,106,Government-to-Government,No,37,62319,6.8,2.3,No,No,High,1.1,Stable,No,Low
2014,Russia,Europe & Central Asia,Non-Aligned,Yes,Saudi Arabia,Middle East & North Africa,Missiles & Air Defence,MANPADS,Defensive,237.5,35,Direct Commercial Sale,No,23,22024,4.5,2.1,Yes,No,High,6.2,Accelerating,No,High
2022,Russia,Europe & Central Asia,Non-Aligned,Yes,Mexico,Latin America & Caribbean,Sensors & Electronics,C4ISR Package,Defensive,34.7,10,Multilateral Programme,No,7,9819,4.2,6.1,Yes,No,Medium,2.6,Declining,No,Medium
2024,France,Europe & Central Asia,NATO,Yes,Morocco,Middle East & North Africa,Combat Aircraft,Fighter Jet,Offensive,185.3,5,Bilateral Defence Pact,No,55,3057,5.2,4.2,No,Yes,Medium,2.1,Declining,No,Medium
2023,Russia,Europe & Central Asia,Non-Aligned,Yes,UAE,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,24.9,61,Multilateral Programme,Yes,8,45459,6.3,3.0,No,No,High,1.0,Declining,No,Low
2013,United States,North America,NATO,Yes,Morocco,Middle East & North Africa,Naval Vessels,Submarine,Offensive,510.4,14,Government-to-Government,No,50,3231,5.5,3.7,No,Yes,Medium,1.7,Stable,No,High
2021,United Kingdom,Europe & Central Asia,NATO,Yes,Saudi Arabia,Middle East & North Africa,Artillery & Ammunition,Guided Munitions,Offensive,35.8,5,Multilateral Programme,No,18,23445,4.4,1.4,Yes,No,High,2.2,Accelerating,No,High
2013,China,East Asia & Pacific,Non-Aligned,Yes,Kenya,Sub-Saharan Africa,Missiles & Air Defence,SAM System,Defensive,180.8,172,Bilateral Defence Pact,Yes,20,2116,4.0,5.5,Yes,No,Low,6.2,Stable,No,Medium
2008,Russia,Europe & Central Asia,Non-Aligned,Yes,Kenya,Sub-Saharan Africa,Armoured Vehicles,Main Battle Tank,Offensive,9.8,74,Direct Commercial Sale,No,18,1905,4.5,6.0,Yes,No,Low,2.2,Stable,No,Medium
2020,Israel,Middle East & North Africa,Non-NATO Ally,No,Mexico,Latin America & Caribbean,Small Arms & Light Weapons,Grenade Launcher Batch,Offensive,16.6,3,Bilateral Defence Pact,No,13,9615,3.5,5.8,Yes,No,Medium,3.2,Accelerating,No,Medium
2008,Turkey,Europe & Central Asia,NATO,No,Ethiopia,Sub-Saharan Africa,Helicopters,Naval Helicopter,Defensive,29.2,7,Multilateral Programme,No,42,989,2.2,3.3,Yes,Yes,Low,4.3,Stable,No,High
2010,United States,North America,NATO,Yes,Thailand,East Asia & Pacific,Helicopters,Transport Helicopter,Defensive,143.9,1,Multilateral Programme,No,41,7719,4.1,4.2,No,No,Low,2.7,Declining,No,Low
2023,Russia,Europe & Central Asia,Non-Aligned,Yes,Brazil,Latin America & Caribbean,Armoured Vehicles,MRAP,Defensive,8.9,70,Offset Agreement,Yes,29,9506,5.1,7.1,No,No,Medium,1.6,Stable,No,Low
2021,United Kingdom,Europe & Central Asia,NATO,Yes,Egypt,Middle East & North Africa,Naval Vessels,Submarine,Offensive,228.7,100,Government-to-Government,No,27,3631,4.0,1.8,Yes,No,Medium,2.4,Accelerating,No,High
2022,United States,North America,NATO,Yes,Iraq,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,51.0,1,Government-to-Government,No,25,5386,2.3,3.7,Yes,Yes,High,3.5,Accelerating,No,High
2014,Italy,Europe & Central Asia,NATO,No,Australia,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,545.1,43,Foreign Military Sales (FMS),No,43,53136,9.1,8.5,No,No,Medium,1.7,Declining,No,Low
2018,Germany,Europe & Central Asia,NATO,No,Morocco,Middle East & North Africa,Naval Vessels,Patrol Boat,Defensive,221.4,1,Bilateral Defence Pact,No,53,3496,5.8,3.6,No,Yes,Medium,3.0,Accelerating,No,Medium
2022,China,East Asia & Pacific,Non-Aligned,Yes,Angola,Sub-Saharan Africa,Naval Vessels,Patrol Boat,Defensive,465.4,3,Government-to-Government,No,70,2489,3.7,2.3,No,No,High,1.1,Stable,No,Medium
2022,Russia,Europe & Central Asia,Non-Aligned,Yes,South Korea,East Asia & Pacific,Naval Vessels,Corvette,Offensive,277.8,163,Foreign Military Sales (FMS),No,28,32818,6.6,8.0,Yes,Yes,Low,5.8,Accelerating,No,High
2022,France,Europe & Central Asia,NATO,Yes,Qatar,Middle East & North Africa,Combat Aircraft,Fighter Jet,Offensive,376.2,78,Government-to-Government,No,53,60299,6.9,2.6,No,No,High,1.4,Accelerating,No,Medium
2006,Russia,Europe & Central Asia,Non-Aligned,Yes,Ukraine,Europe & Central Asia,Combat Aircraft,UAV/Drone,Offensive,85.4,2,Direct Commercial Sale,No,38,3903,2.1,4.7,Yes,Yes,Low,2.1,Stable,No,High
2024,China,East Asia & Pacific,Non-Aligned,Yes,Japan,East Asia & Pacific,Missiles & Air Defence,SAM System,Defensive,149.8,33,Direct Commercial Sale,No,23,41084,8.5,8.3,No,Yes,Low,1.6,Accelerating,No,Medium
2010,Russia,Europe & Central Asia,Non-Aligned,Yes,Japan,East Asia & Pacific,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,38.5,22,Bilateral Defence Pact,No,21,42024,8.2,9.3,No,Yes,Low,1.3,Accelerating,No,Low
2023,France,Europe & Central Asia,NATO,Yes,Bangladesh,South Asia,Small Arms & Light Weapons,ATGM,Offensive,13.0,3,Foreign Military Sales (FMS),No,27,2659,4.4,4.2,No,No,Low,0.8,Accelerating,No,Medium
2020,United States,North America,NATO,Yes,Indonesia,East Asia & Pacific,Missiles & Air Defence,MANPADS,Defensive,201.5,13,Bilateral Defence Pact,No,22,4385,5.4,6.2,No,Yes,Medium,1.2,Stable,No,Medium
2013,United Kingdom,Europe & Central Asia,NATO,Yes,Kenya,Sub-Saharan Africa,Missiles & Air Defence,Anti-Ship Missile,Offensive,124.7,6,Multilateral Programme,Yes,12,1724,4.9,4.9,Yes,No,Low,2.2,Accelerating,No,High
2021,Israel,Middle East & North Africa,Non-NATO Ally,No,Australia,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,736.3,16,Bilateral Defence Pact,Yes,48,54975,8.2,9.5,No,No,Medium,1.0,Accelerating,No,Low
